Origem,Status,Chegada,Campanha,Nome,Contato,H.Preferencial,Email,1ª Ligação,2ª Ligação,3ª Ligação,Anotações,Conversão
Facebook / Insta,Marcada,"3/1/2026, 17:28:36",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/06 18:00:00,,,maRCAÇÃO 08/01  17H,7007
Google / Site,Email,"3/1/2026, 17:38:54",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/06 18:00:00,,,enviei email,
Facebook / Insta,Andamento,"4/1/2026, 01:45:04",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/06 12:00:00,,,"de loures, trabalha das 12-22, vai ver a folga da proxima semana e dp liga  amarcar",
Facebook / Insta,Marcada,"4/1/2026, 08:04:11",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/06 18:00:00,,,MARCAÇÃO 13/01 18H,1083
Google / Site,Marcada,"4/1/2026, 08:07:26",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/06 18:00:00,,,MARCAÇÃO 13/01 18H,4768
Facebook / Insta,Andamento,"4/1/2026, 12:05:28",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/05 18:00:00,,,"FICOU COM O NUMERO, DP MARCA",
Facebook / Insta,Andamento,"4/1/2026, 13:41:51",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/06 14:00:00,,,enviei msg com contacto para dp marcar. da margem sul.,
Facebook / Insta,Marcada,"4/1/2026, 14:25:10",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/06 18:00:00,,,MArcação 08/01 - 16.30,9889
Facebook / Insta,Paciente,"4/1/2026, 15:55:29",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Não Atendeu,"4/1/2026, 16:43:53",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/05 18:00:00,,,N ATENDEU,
Google / Site,Paciente,"4/1/2026, 17:44:57",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,,,,,
Facebook / Insta,Marcada,"15/1/2026, 21:26:06",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/16 18:30:00,,,marcação 29/01  16h,9634
Facebook / Insta,Perdida,"15/1/2026, 21:59:52",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/16 19:00:00,,,diz q n pediu nada,
Facebook / Insta,Marcada,"15/1/2026, 22:48:25",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/16 12:00:00,,,marcação 20/01 14:30,4473
Facebook / Insta,Perdida,"16/1/2026, 00:04:40",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/16 19:00:00,,,perda,
Facebook / Insta,Perdida,"16/1/2026, 00:27:12",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/16 18:00:00,2026/01/19 15:30:00,,"ligae segunda da parte da tarde/ MORA LONG, N QUER",
Facebook / Insta,Não Atendeu,"16/1/2026, 00:31:48",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/16 18:00:00,,,n atendeu,
Facebook / Insta,Não Atendeu,"16/1/2026, 00:57:27",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/16 19:00:00,,,n atendeu,
Facebook / Insta,Andamento,"16/1/2026, 03:12:26",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/16 14:00:00,,,"Quer fazer facetas, tem nome no BP, segunda ligar a agendar para vir. dp arranja familiar para financiar. falei me -+ 450 cada total +- 9000€.",
Facebook / Insta,Não Atendeu,"16/1/2026, 07:33:38",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/16 19:30:00,,,ocupado,
Facebook / Insta,Perdida,"16/1/2026, 08:00:55",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/16 14:00:00,,,"desligou qd me identifiquei, n voltou a atender",
Facebook / Insta,Não Atendeu,"16/01/2026, 11:20:29",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/16 19:50:00,,,n atendeu,
Facebook / Insta,Paciente,"16/01/2026, 11:36:48",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,,,,,
Facebook / Insta,Perdida,"17/01/2026, 07:36:49",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 19:00:00,,,"Preço para fixas, achou mto caro, perda",
Facebook / Insta,Marcada,"17/01/2026, 12:23:59",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 19:00:00,,,MArcação 23/01  19h,884
Google / Site,Não Atendeu,"17/01/2026, 13:24:13",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/19 12:00:00,,,Não atendeu,
Facebook / Insta,Perdida,"17/01/2026, 17:02:13",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/19 12:00:00,,,"Quer clinica na ,margem sul",
Facebook / Insta,Não Atendeu,"17/01/2026, 18:35:12",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 19:00:00,,,n atendeu,
Facebook / Insta,Não Atendeu,"17/01/2026, 19:21:55",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 19:00:00,,,N atendeu,
Facebook / Insta,Marcada,"17/01/2026, 20:38:57",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/19 14:00:00,,,MArcação 27/01  14h,2628
Facebook / Insta,Pendente,"17/01/2026, 20:44:22",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,,,,,
Facebook / Insta,Não Atendeu,"17/01/2026, 21:25:46",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 18:00:00,,,n atendeu,
Facebook / Insta,Marcada,"17/01/2026, 23:57:56",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/19 15:00:00,,,Marcação 21/01  14h,995
Facebook / Insta,Andamento,"18/01/2026, 00:44:50",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/19 13:40:00,,,"Atendeu n se ouvia, voltei a ligar e n atendeu.",
Facebook / Insta,Não Atendeu,"18/01/2026, 08:35:37",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/19 14:50:00,2026/01/19 18:00:00,,n atendeu,
Google / Site,Não Atendeu,"18/01/2026, 08:36:07",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/19 15:00:00,,,n atendeu,
Facebook / Insta,Perdida,"18/01/2026, 08:48:11",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/19 13:30:00,,,Desligou a chamada qd me identifiquei e qd voltei a ligar n atendeu.,
Facebook / Insta,Andamento,"18/01/2026, 15:47:21",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 18:30:00,,,"Vive em Vilamoura, que fazer implantes, pretende financiar. vai ver qd vem a Lisboa e agenda",
Facebook / Insta,Marcada,"18/01/2026, 18:19:38",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/19 14:00:00,,,MArcação 20/01 14:30,5662
Facebook / Insta,Não Atendeu,"18/01/2026, 18:31:25",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/19 13:30:00,2026/01/19 18:00:00,,n atendeu,
Facebook / Insta,Marcada,"18/01/2026, 21:13:41",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/19 14:30:00,,,MArcação 23/01 17h,7441
Facebook / Insta,Andamento,"18/01/2026, 22:28:53",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/19 18:00:00,,,"n tem horário, ligar amanha, quer implante.",
Facebook / Insta,Não Atendeu,"19/01/2026, 06:57:49",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/19 13:30:00,2026/01/19 18:00:00,,n atendeu,
Facebook / Insta,Marcada,"19/01/2026, 12:12:11",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/19 12:00:00,,,Marcação 20/01 14h,1139
Google / Site,Marcada,"19/01/2026, 12:12:54",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/19 12:00:00,,,Marcação 20/01 14h,7364
Facebook / Insta,Andamento,"19/1/2026, 21:16:59",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/20 13:20:00,2026/01/22 13:30:00,,"Não atendeu/ 22/01 - estava no hospital, marido acabou de ter avc",
Facebook / Insta,Marcada,"19/1/2026, 21:22:55",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/20 18:00:00,,,MARCAÇÃO 21/01 15H,1491
Facebook / Insta,Não Atendeu,"19/1/2026, 22:00:00",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/20 18:00:00,,,TLM DESLIGADO,
Facebook / Insta,Marcada,"20/1/2026, 10:43:36",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/20 18:00:00,,,MARCAÇOA 22/01  16H,9436
Facebook / Insta,Andamento,"20/1/2026, 12:42:22",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/20 12:30:00,,,"De Grandula, diz q vai ver qd marca parta cá vir, diz q tem de comprar bilhete para lisboa, dp fazer avaliação e ver qt fica a pagar por mes.",
Facebook / Insta,Não Atendeu,"21/1/2026, 00:07:28",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/21 12:00:00,,,"Não atendeu, enviei msg",
Facebook / Insta,Não Atendeu,"21/1/2026, 01:27:43",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/21 13:00:00,2026/01/21 19:00:00,,tlm desligado,
Facebook / Insta,Não Atendeu,"21/1/2026, 14:14:25",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/22 13:30:00,2026/01/22 19:00:00,,"a trabalhar, ligar as 19/ n atendeu",
Facebook / Insta,Não Atendeu,"21/1/2026, 20:14:00",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/22 13:30:00,2026/01/23 13:00:00,,Não atendeu,
Facebook / Insta,Não Atendeu,"21/1/2026, 20:31:45",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/22 18:50:00,2026/01/23 19:00:00,,n atendeu,
Facebook / Insta,Não Atendeu,"22/1/2026, 18:52:20",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/23 12:00:00,,,DESLIGADO,
Facebook / Insta,Não Atendeu,"23/1/2026, 22:36:32",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/26 13:30:00,,,TLM DESLIGADO,
Facebook / Insta,Não Atendeu,"23/1/2026, 22:46:52",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/26 17:00:00,,,N ATENDEU,
Facebook / Insta,Marcada,"23/1/2026, 23:11:40",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/26 12:00:00,2026/01/27 18:00:00,,TLM DESLIGADO/ MARCAÇÃO 28/01  14H,1255
Google / Site,Perdida,"23/1/2026, 23:12:58",Geral,Jane Doe,351999111222,Das 9 às 13h,janedoe@gmail.com,2026/01/26 12:00:00,2026/01/26 18:00:00,2026/01/27 12:00:00,N ATENDEU/ tlm desligado,
Facebook / Insta,Não Atendeu,"24/1/2026, 01:06:37",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/26 18:00:00,,,N ATENDEU,
Facebook / Insta,Andamento,"24/1/2026, 01:06:55",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/26 17:00:00,,,LIGAR AMANHA APOS AS 14H,
Facebook / Insta,Perdida,"24/1/2026, 17:14:33",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/26 19:00:00,,,DIZ Q N ENVIOU NADA,
Facebook / Insta,Pendente,"24/1/2026, 17:40:16",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,,,,,
Facebook / Insta,Não Atendeu,"24/1/2026, 19:34:21",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/26 12:00:00,2026/01/27 13:30:00,,PEDIU PARA LIGAR AMANHA POR VOLTA DAS 11H/ m atendeu,
Facebook / Insta,Perdida,"24/1/2026, 22:26:59",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/26 12:00:00,,,qUER SO COM SEGURO E N TEM MEDICARE.,
Facebook / Insta,Andamento,"25/1/2026, 07:23:53",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/26 13:30:00,,,"VAI VER COM PATRÃO PARA QDO A FOLGA, DP MARCA. QUERIA PREFERENCIALMENTE AO SABADO",
Facebook / Insta,Marcada,"25/1/2026, 12:44:06",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/26 18:00:00,,,27/01 12:30,8014
Facebook / Insta,Perdida,"25/1/2026, 20:01:50",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/26 12:00:00,2026/01/26 18:00:00,2026/01/27 12:00:00,"estava sempre a cair a chamada, hj desligou qd me apresentei.",
Facebook / Insta,Perdida,"25/1/2026, 21:08:22",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/26 19:00:00,,,"QUER CONSULTA GRATUITA, VAI BUSCAR RX NA OUTRA CLINICA PARA N PAGAR AQUI OS 20e",
Facebook / Insta,Não Atendeu,"26/1/2026, 12:57:21",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/27 19:00:00,,,N ATENDEU,
Facebook / Insta,Não Atendeu,"26/1/2026, 15:09:13",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/27 17:30:00,,,TLM DESLIGADO,
Facebook / Insta,Não Atendeu,"26/1/2026, 17:41:45",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/27 18:00:00,,,N ATENDEU,
Facebook / Insta,Não Atendeu,"26/1/2026, 22:38:38",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/27 13:00:00,,,N ATENDEU,
Facebook / Insta,Perdida,"27/1/2026, 09:28:01",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/27 18:40:00,,,ACHOU MTO CARO P PREÇO POR ARCADA.,
Facebook / Insta,Não Atendeu,"27/1/2026, 11:14:20",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/27 18:00:00,,,N ATENDEU,
Facebook / Insta,Não Atendeu,"27/1/2026, 19:07:11",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/28 13:00:00,,,n atendeu,
Facebook / Insta,Não Atendeu,"27/1/2026, 19:14:33",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/28 12:00:00,,,tlm desligado,
Facebook / Insta,Perdida,"27/1/2026, 19:39:07",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/29 19:00:00,,,n atendeu/ LIGOU E DIZ Q N PEDIU NADA,
Facebook / Insta,Marcada,"28/1/2026, 00:43:28",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/29 18:00:00,,,Marcação 03/02  12:30,4830
Facebook / Insta,Não Atendeu,"28/1/2026, 08:28:08",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/29 19:00:00,,,N ATENDEU,
Facebook / Insta,Não Atendeu,"28/1/2026, 10:40:43",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/29 18:00:00,,,não atendeu,
Facebook / Insta,Marcada,"28/1/2026, 10:42:06",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/29 12:00:00,,,,738
Facebook / Insta,Não Atendeu,"28/1/2026, 11:17:16",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/28 12:00:00,2026/01/29 12:00:00,,ligar amanha/ tlm desligado,
Facebook / Insta,Andamento,"28/1/2026, 17:30:48",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/29 19:00:00,,,"AFRICANO DA MARGEM SUL, TRABALHA NA MARGEM SUL, DP MARCA PARA FAZER LIMPEZA",
Facebook / Insta,Marcada,"28/1/2026, 17:35:07",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/29 12:00:00,2026/01/29 17:30:00,,n atendeu/ marcaçao 03/02  11:30,6572
Facebook / Insta,Não Atendeu,"29/1/2026, 00:07:21",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/29 19:00:00,,,N ATENDEU,
Facebook / Insta,Perdida,"29/1/2026, 07:07:50",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/29 18:00:00,,,"africano, quer saber valores de limpeza, queria ao sabado. ficou de ver horário e dp manda msg .",
Facebook / Insta,Pendente,"29/1/2026, 20:14:07",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"30/1/2026, 11:02:20",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"30/1/2026, 11:30:28",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"30/1/2026, 19:44:09",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"30/1/2026, 21:03:02",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"30/1/2026, 21:49:19",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"31/1/2026, 13:42:09",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"31/1/2026, 17:34:53",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"31/1/2026, 20:06:04",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"31/1/2026, 22:34:45",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,,,,,
Facebook / Insta,Marcada,"01/12/2025, 01:52:58",Harmonização,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/02 19:00:00,,,MArcaçao 22/12 16h n é harmonização,651
Facebook / Insta,Perdida,"1/12/2025, 12:29:25",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2025/12/04 12:50:00,,,Diz n ter feito nenhum pedido de contacto,
Facebook / Insta,Perdida,"1/12/2025, 16:03:35",Harmonização,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/02 19:57:00,,,diz q n mandou nada,
Facebook / Insta,Não Atendeu,"1/12/2025, 21:00:28",Harmonização,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/02 19:57:00,,,tlm desligado,
Facebook / Insta,Não Atendeu,"1/12/2025, 21:33:26",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2025/12/04 12:30:00,,,n atendeu,
Facebook / Insta,Perdida,"1/12/2025, 21:48:40",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2025/12/04 12:40:00,,,"Queria saber preço de protese fixa sup e inf, dei 10k. com mensalidade sem juros. diz q dp marca, se tiver interesse.",
Facebook / Insta,Não Atendeu,"1/12/2025, 22:48:34",Harmonização,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2025/12/02 19:20:00,,,N atendeu,
Facebook / Insta,Perdida,"1/12/2025, 23:00:27",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2025/12/04 12:52:00,,,"Já tinha marcado e falto a 23/10, liguei e qd me identifiquei desligou. n voltou a atender.",
Facebook / Insta,Não Atendeu,"2/12/2025, 02:38:21", ,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2025/12/04 13:30:00,2025/12/05 13:30:00,,N atendeu,
Facebook / Insta,Perdida,"2/12/2025, 06:11:54",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,12/04 12:31,2025/12/05 13:00:00,,"N atendeu/ Do Algarve, brasileiro diz q 1000€ o implante é mto caro",
Facebook / Insta,Andamento,"2/12/2025, 13:05:12",Harmonização,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,12/04 13:15,,,"Harmonização, a sua médica está mto cara, quer outra, quer tirar rugas abaixo do nariz. n marcou, mas diz q do marca.",
Facebook / Insta,Andamento,"2/12/2025, 14:47:26",Harmonização,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,12/04 12:40,,,enviado sms,
Facebook / Insta,Não Atendeu,"2/12/2025, 15:33:14",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,04/12 12:41,12/05 13:00,,N atendeu/ mecânico pediu para lhe ligar no sabado,
Facebook / Insta,Não Atendeu,"2/12/2025, 20:54:42",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,12/04 12:44,,,Ocupado/ OCUPADO,
Facebook / Insta,Não Atendeu,"2/12/2025, 23:46:40",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/04 19:13:00,,,n atendeu,
Facebook / Insta,Não Atendeu,"3/12/2025, 09:11:29",Harmonização,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/04 19:13:00,,,ligar amanha,
Facebook / Insta,Email,"3/12/2025, 18:18:10",Harmonização,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,,,,sem contacto,
Facebook / Insta,Perdida,"3/12/2025, 20:45:45",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2025/12/04 17:18:00,12/05 17:50,12/05 18:39,n atendeu/ n atendeu/ ligou qd me identifiquei desligou. n atendeu mais,
Facebook / Insta,Marcada,"3/12/2025, 21:28:35",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,12/04 12:52,,,Ligar mais tarde/ MArcação 09/12 11h,1893
Facebook / Insta,Andamento,"3/12/2025, 22:25:06",Harmonização,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/04 19:10:00,,,"Quer saber valores, dp liga",
Facebook / Insta,Não Atendeu,"3/12/2025, 23:08:06",Harmonização,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,12/04 12:50,2025/12/05 12:00:00,,N atendeu,
Facebook / Insta,Não Atendeu,"3/12/2025, 23:19:43",Harmonização,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2025/12/04 19:00:00,12/05 18:35,,n atendeu/ pediu para ligar amanha,
Facebook / Insta,Perdida,"4/12/2025, 00:36:20",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,12/04 12:59,2025/12/05 18:00:00,,OCUPADO/ n quer nada,
Facebook / Insta,Não Atendeu,"4/12/2025, 12:42:10",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,12/04 12:45,12/05 12:32,,Ligar amanha/ N atendeu,
Facebook / Insta,Perdida,"4/12/2025, 14:24:35",Harmonização,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,12/04 12:57,,,De PORTIMÃO,
Facebook / Insta,Não Atendeu,"4/12/2025, 14:31:49",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2025/12/05 13:00:00,,,n atendeu,
Facebook / Insta,Marcada,"4/12/2025, 19:11:13",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,12/04 19:19,,,"está em Vila do conde, mas vai estar em lisboa dia 18. MArcação para 18/12 12h.",6295
